,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,star,writer,year,ROI_pct,release_dt
1880,-5508691,7850000,Greenleaf Productions,USA,James Yukich,Action,2341309,Double Dragon,PG-13,11/4/1994,96,Robert Patrick,Paul Dini,1994,-70.1744076433121,1994-11-04
1881,1159736,200000,Buckeye Films,USA,David O. Russell,Comedy,1359736,Spanking the Monkey,UNRATED,7/15/1994,100,Jeremy Davies,David O. Russell,1994,579.868,1994-07-15
1882,-9896000,12000000,Fine Line Features,UK,Roman Polanski,Drama,2104000,Death and the Maiden,R,1/27/1995,103,Sigourney Weaver,Ariel Dorfman,1994,-82.46666666666667,1995-01-27
1884,3622150,40000000,Castle Rock Entertainment,USA,Paul Weiland,Comedy,43622150,City Slickers II: The Legend of Curly's Gold,PG-13,6/10/1994,116,Billy Crystal,Lowell Ganz,1994,9.055375,1994-06-10
1885,1372663,25000000,Paramount Pictures,USA,Fred Schepisi,Comedy,26372663,I.Q.,PG,12/25/1994,100,Tim Robbins,Andy Breckman,1994,5.490652,1994-12-25
1886,-11588341,19000000,"Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)",USA,Paul Flaherty,Comedy,7411659,Clifford,PG,4/1/1994,90,Martin Short,William Porter,1994,-60.99126842105264,1994-04-01
1888,-14722815,35000000,Imagine Entertainment,USA,Gregg Champion,Action,20277185,The Cowboy Way,PG-13,6/3/1994,102,Woody Harrelson,Robert C. Thompson,1994,-42.06518571428571,1994-06-03
1891,-8216000,20000000,Ben-Ami/Leeds Productions,USA,Charles T. Kanganis,Family,11784000,3 Ninjas Kick Back,PG,5/6/1994,93,Victor Wong,Sang-ok Shin,1994,-41.08,1994-05-06
1892,-8201760,15000000,TriStar Pictures,USA,Nora Ephron,Comedy,6798240,Mixed Nuts,PG-13,12/21/1994,97,Steve Martin,Nora Ephron,1994,-54.6784,1994-12-21
1893,-323072,700000,Cineville,USA,George Huang,Comedy,376928,Swimming with Sharks,R,4/21/1995,93,Kevin Spacey,George Huang,1994,-46.15314285714286,1995-04-21
1894,-16279620,45000000,Paramount Pictures,USA,John Badham,Action,28720380,Drop Zone,R,12/9/1994,101,Wesley Snipes,Tony Griffin,1994,-36.17693333333333,1994-12-09
1895,-3297606,5000000,21st Century Film Corporation,USA,Allan A. Goldstein,Action,1702394,Death Wish V: The Face of Death,R,1/14/1994,95,Charles Bronson,Brian Garfield,1994,-65.95212000000001,1994-01-14
1896,13851521,7000000,"Jackson/McHenry Company,The",USA,Doug McHenry,Crime,20851521,Jason's Lyric,R,9/28/1994,120,Allen Payne,Bobby Smith Jr.,1994,197.87887142857144,1994-09-28
1897,-24071108,45000000,Paramount Pictures,USA,Mark Rydell,Drama,20928892,Intersection,R,1/21/1994,98,Richard Gere,David Rayfiel,1994,-53.49135111111111,1994-01-21
1900,-3746031,4000000,Audifilm,Italy,Michele Soavi,Comedy,253969,Cemetery Man,R,4/26/1996,105,Rupert Everett,Gianni Romoli,1994,-93.650775,1996-04-26
1902,-33521100,50000000,Hollywood Pictures,USA,Deran Sarafian,Action,16478900,Terminal Velocity,PG-13,9/23/1994,102,Charlie Sheen,David Twohy,1994,-67.0422,1994-09-23
1903,-12170266,26000000,Fallingcloud,Canada,Andrew Morahan,Action,13829734,Highlander: The Final Dimension,PG-13,1/27/1995,99,Christopher Lambert,Gregory Widen,1994,-46.80871538461538,1995-01-27
1904,-1136153,1900000,Aim,Republic of Macedonia,Milcho Manchevski,Drama,763847,Before the Rain,NOT RATED,2/24/1995,113,Katrin Cartlidge,Milcho Manchevski,1994,-59.797526315789476,1995-02-24
1906,32824341,6000000,Universal Pictures,USA,Ron Howard,Comedy,38824341,The Paper,R,3/25/1994,112,Michael Keaton,David Koepp,1994,547.07235,1994-03-25
1909,-183497,2800000,Cam�ra One,Russia,Nikita Mikhalkov,Drama,2616503,Burnt by the Sun,R,4/21/1995,135,Nikita Mikhalkov,Rustam Ibragimbekov,1994,-6.553464285714286,1995-04-21
1911,-41749789,60000000,Mulholland Productions,USA,Glenn Gordon Caron,Comedy,18250211,Love Affair,PG-13,10/21/1994,108,Warren Beatty,Mildred Cram,1994,-69.58298166666667,1994-10-21
1913,-11561836,30000000,Metro-Goldwyn-Mayer (MGM),USA,Howard Deutch,Comedy,18438164,Getting Even with Dad,PG,6/17/1994,109,Macaulay Culkin,Tom S. Parker,1994,-38.539453333333334,1994-06-17
1915,-14193806,45000000,Caravan Pictures,USA,Charles Shyer,Action,30806194,I Love Trouble,PG,6/29/1994,123,Nick Nolte,Nancy Meyers,1994,-31.541791111111113,1994-06-29
1917,260622,2000000,Planet Productions,USA,Rodman Flender,Comedy,2260622,Leprechaun 2,R,4/8/1994,85,Warwick Davis,Mark Jones,1994,13.0311,1994-04-08
1925,3101600,3000000,Jones Entertainment Group,USA,John Sayles,Drama,6101600,The Secret of Roan Inish,PG,2/3/1995,103,Jeni Courtney,Rosalie K. Fry,1994,103.38666666666667,1995-02-03
1927,-4855333,7000000,Fine Line Features,USA,Alan Rudolph,Biography,2144667,Mrs. Parker and the Vicious Circle,R,11/23/1994,125,Jennifer Jason Leigh,Alan Rudolph,1994,-69.36189999999999,1994-11-23
1929,7053498,20000000,Channel Films,USA,Hugh Wilson,Comedy,27053498,Guarding Tess,PG-13,3/11/1994,96,Shirley MacLaine,Hugh Wilson,1994,35.26749,1994-03-11
1930,-11961501,15000000,Tig Productions,USA,John Bailey,Crime,3038499,China Moon,R,3/4/1994,99,Ed Harris,Roy Carlson,1994,-79.74333999999999,1994-03-04
1931,-28480634,30000000,Warner Bros.,UK,Bill Forsyth,Comedy,1519366,Being Human,PG-13,5/6/1994,122,Robin Williams,Bill Forsyth,1994,-94.93544666666666,1994-05-06
1933,3931500,17080000,Hollywood Pictures,USA,Paul Michael Glaser,Comedy,21011500,The Air Up There,PG,1/7/1994,107,Kevin Bacon,Max Apple,1994,23.018149882903984,1994-01-07
1934,-19694930,20000000,Majestic Films International,USA,Kevin Reynolds,Action,305070,Rapa Nui,R,9/9/1994,107,Jason Scott Lee,Kevin Reynolds,1994,-98.47465,1994-09-09
1936,-1204115,2300000,Fine Line Features,USA,James Gray,Crime,1095885,Little Odessa,R,5/19/1995,98,Tim Roth,James Gray,1994,-52.35282608695652,1995-05-19
1937,-9865919,13000000,Nelson Entertainment,USA,Donald Petrie,Comedy,3134081,The Favor,R,4/29/1994,97,Harley Jane Kozak,Sara Parriott,1994,-75.89168461538462,1994-04-29
1941,-14929064,15000000,Metro-Goldwyn-Mayer (MGM),USA,Bob Clark,Comedy,70936,It Runs in the Family,PG,9/23/1994,85,Charles Grodin,Jean Shepherd,1994,-99.52709333333334,1994-09-23
1945,-1443578,2300000,American Playhouse,USA,Hal Hartley,Comedy,856422,Amateur,R,5/19/1995,105,Isabelle Huppert,Hal Hartley,1994,-62.76426086956521,1995-05-19
1946,-26819326,30000000,Kouf/Bigelow Productions,USA,Bruce Beresford,Drama,3180674,Silent Fall,R,10/28/1994,100,Richard Dreyfuss,Akiva Goldsman,1994,-89.39775333333333,1994-10-28
1948,4066973,3200000,Barcelona Films,USA,Whit Stillman,Comedy,7266973,Barcelona,PG-13,7/29/1994,101,Taylor Nichols,Whit Stillman,1994,127.09290625,1994-07-29
1949,-10376491,10500000,Nelson Entertainment,USA,Floyd Mutrux,Comedy,123509,There Goes My Baby,R,9/2/1994,99,Dermot Mulroney,Floyd Mutrux,1994,-98.82372380952381,1994-09-02
1952,-26307126,30000000,Baltimore Pictures,USA,Barry Levinson,Crime,3692874,Jimmy Hollywood,R,3/30/1994,112,Joe Pesci,Barry Levinson,1994,-87.69042,1994-03-30
1954,-33790889,44000000,Columbia Pictures Corporation,USA,James L. Brooks,Comedy,10209111,I'll Do Anything,PG-13,2/4/1994,115,Nick Nolte,James L. Brooks,1994,-76.797475,1994-02-04
1955,-13700940,15000000,Universal Pictures,USA,Mel Smith,Comedy,1299060,Radioland Murders,PG,10/21/1994,108,Brian Benben,George Lucas,1994,-91.3396,1994-10-21
1956,786314,200000,Acme Films Ltd.,USA,Gary Jones,Horror,986314,Mosquito,R,11/21/1994,92,Gunnar Hansen,Tom Chaney,1994,393.157,1994-11-21
1962,2393311,15000,Can I Watch,USA,Rose Troche,Drama,2408311,Go Fish,R,7/8/1994,83,V.S. Brodie,Rose Troche,1994,15955.406666666668,1994-07-08
1963,-9461920,10700000,Orion Pictures,USA,Bill Fishman,Comedy,1238080,"Car 54, Where Are You?",PG-13,1/28/1994,89,David Johansen,Nat Hiken,1994,-88.42915887850468,1994-01-28
1966,-553066,1000000,Kino Link Company,USA,Michael Almereyda,Drama,446934,Nadja,R,9/1/1995,93,Elina L�wensohn,Michael Almereyda,1994,-55.306599999999996,1995-09-01
1969,-15862315,19200000,Walt Disney Pictures,USA,Xavier Koller,Adventure,3337685,Squanto: A Warrior's Tale,PG,10/28/1994,102,Adam Beach,Darlene Craviotto,1994,-82.61622395833334,1994-10-28
1974,-10496808,18000000,Metro-Goldwyn-Mayer (MGM),USA,Mick Jackson,Comedy,7503192,Clean Slate,PG-13,5/6/1994,107,Dana Carvey,Robert King,1994,-58.3156,1994-05-06
1977,-17691610,20000000,Capitol Films,South Africa,Bruce Beresford,Comedy,2308390,A Good Man in Africa,R,9/9/1994,94,Colin Friels,William Boyd,1994,-88.45805,1994-09-09
1980,67125643,33000000,Cecchi Gori Pictures,USA,David Fincher,Crime,100125643,Se7en,R,9/22/1995,127,Morgan Freeman,Andrew Kevin Walker,1995,203.4110393939394,1995-09-22
1981,50475249,50000000,TriStar Pictures,USA,Joe Johnston,Action,100475249,Jumanji,PG,12/15/1995,104,Robin Williams,Jonathan Hensleigh,1995,100.950498,1995-12-15
1982,3600000,72000000,Icon Entertainment International,USA,Mel Gibson,Biography,75600000,Braveheart,R,5/24/1995,178,Mel Gibson,Randall Wallace,1995,5.0,1995-05-24
1983,17341568,6000000,PolyGram Filmed Entertainment,USA,Bryan Singer,Crime,23341568,The Usual Suspects,R,9/15/1995,106,Kevin Spacey,Christopher McQuarrie,1995,289.0261333333333,1995-09-15
1984,7436818,60000000,Warner Bros.,USA,Michael Mann,Action,67436818,Heat,R,12/15/1995,170,Al Pacino,Michael Mann,1995,12.394696666666666,1995-12-15
1985,44631572,12000000,Paramount Pictures,USA,Amy Heckerling,Comedy,56631572,Clueless,PG-13,7/19/1995,97,Alicia Silverstone,Amy Heckerling,1995,371.9297666666667,1995-07-19
1986,86600000,55000000,Walt Disney Pictures,USA,Mike Gabriel,Animation,141600000,Pocahontas,G,6/23/1995,81,Mel Gibson,Carl Binder,1995,157.45454545454544,1995-06-23
1987,28141458,29000001,Universal Pictures,USA,Terry Gilliam,Mystery,57141459,Twelve Monkeys,R,1/5/1996,129,Bruce Willis,Chris Marker,1995,97.03950699863769,1996-01-05
1988,161796233,30000000,Pixar Animation Studios,USA,John Lasseter,Animation,191796233,Toy Story,G,11/22/1995,81,Tom Hanks,John Lasseter,1995,539.3207766666667,1995-11-22
1989,84031112,100000000,Warner Bros.,USA,Joel Schumacher,Action,184031112,Batman Forever,PG-13,6/16/1995,121,Val Kilmer,Bob Kane,1995,84.031112,1995-06-16
1990,46600000,60000000,Eon Productions,UK,Martin Campbell,Action,106600000,GoldenEye,PG-13,11/17/1995,130,Pierce Brosnan,Ian Fleming,1995,77.66666666666666,1995-11-17
1991,-9561700,52000000,Universal Pictures,France,Martin Scorsese,Crime,42438300,Casino,R,11/22/1995,178,Robert De Niro,Nicholas Pileggi,1995,-18.387884615384614,1995-11-22
1992,5917210,1500000,Guys Upstairs,USA,Larry Clark,Drama,7417210,Kids,UNRATED,9/1/1995,91,Leo Fitzpatrick,Harmony Korine,1995,394.48066666666665,1995-09-01
1993,-24697039,45000000,Carolco Pictures,France,Paul Verhoeven,Drama,20302961,Showgirls,NC-17,9/22/1995,128,Elizabeth Berkley,Joe Eszterhas,1995,-54.882308888888886,1995-09-22
1994,50328194,50000000,Universal Pictures,USA,Brad Silberling,Comedy,100328194,Casper,PG,5/26/1995,100,Bill Pullman,Joseph Oriolo,1995,100.656388,1995-05-26
1996,23967564,3500000,New Line Cinema,USA,F. Gary Gray,Comedy,27467564,Friday,R,4/26/1995,91,Ice Cube,Ice Cube,1995,684.7875428571429,1995-04-26
1997,3035405,2500000,Castle Rock Entertainment,USA,Richard Linklater,Drama,5535405,Before Sunrise,R,1/27/1995,101,Ethan Hawke,Richard Linklater,1995,121.4162,1995-01-27
1998,52454098,18000000,New Line Cinema,USA,Paul W.S. Anderson,Action,70454098,Mortal Kombat,PG-13,8/18/1995,101,Christopher Lambert,Ed Boon,1995,291.41165555555557,1995-08-18
1999,121837933,52000000,Universal Pictures,USA,Ron Howard,Adventure,173837933,Apollo 13,PG,6/30/1995,140,Tom Hanks,Jim Lovell,1995,234.30371730769232,1995-06-30
2000,-12436000,20000000,United Artists,USA,Iain Softley,Comedy,7564000,Hackers,PG-13,9/15/1995,107,Jonny Lee Miller,Rafael Moreu,1995,-62.18,1995-09-15
2001,46807024,19000000,Don Simpson/Jerry Bruckheimer Films,USA,Michael Bay,Action,65807024,Bad Boys,R,4/7/1995,119,Will Smith,George Gallo,1995,246.35275789473684,1995-04-07
2002,10012499,90000000,Cinergi Pictures Entertainment,USA,John McTiernan,Action,100012499,Die Hard with a Vengeance,R,5/19/1995,128,Bruce Willis,Jonathan Hensleigh,1995,11.12499888888889,1995-05-19
2003,15588750,10000000,Universal Pictures,USA,Tamra Davis,Comedy,25588750,Billy Madison,PG-13,2/10/1995,89,Adam Sandler,Tim Herlihy,1995,155.8875,1995-02-10
2004,-86753780,175000000,Universal Pictures,USA,Kevin Reynolds,Action,88246220,Waterworld,PG-13,7/28/1995,135,Kevin Costner,Peter Rader,1995,-49.57358857142857,1995-07-28
2005,31022101,50000000,Paramount Pictures,USA,Frank Marshall,Action,81022101,Congo,PG-13,6/9/1995,109,Laura Linney,Michael Crichton,1995,62.044202000000006,1995-06-09
2006,27182776,16000000,Columbia Pictures Corporation,USA,Ang Lee,Drama,43182776,Sense and Sensibility,PG,1/26/1996,136,Emma Thompson,Jane Austen,1995,169.89235,1996-01-26
2007,41827000,30250000,Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,Comedy,72077000,Get Shorty,R,10/20/1995,105,Gene Hackman,Elmore Leonard,1995,138.2710743801653,1995-10-20
2008,3000000,62000000,Universal Pictures,USA,Rob Reiner,Comedy,65000000,The American President,PG-13,11/17/1995,114,Michael Douglas,Aaron Sorkin,1995,4.838709677419355,1995-11-17
2009,-20935667,25000000,Trilogy Entertainment Group,USA,Rachel Talalay,Action,4064333,Tank Girl,R,3/31/1995,104,Lori Petty,Alan Martin,1995,-83.742668,1995-03-31
2010,21362146,9500000,Caravan Pictures,USA,Victor Salva,Drama,30862146,Powder,PG-13,10/27/1995,111,Mary Steenburgen,Victor Salva,1995,224.8646947368421,1995-10-27
2011,25074103,35000000,Metro-Goldwyn-Mayer (MGM),USA,Roger Donaldson,Action,60074103,Species,R,7/7/1995,108,Natasha Henstridge,Dennis Feldman,1995,71.64029428571429,1995-07-07
2012,-16486972,18000000,Club d'Investissement M�dia,France,Marc Caro,Fantasy,1513028,The City of Lost Children,R,12/15/1995,112,Ron Perlman,Gilles Adrien,1995,-91.59428888888888,1995-12-15
2013,28368347,3600000,Lumiere Pictures,France,Mike Figgis,Drama,31968347,Adi�s a Las Vegas,R,2/9/1996,111,Nicolas Cage,John O'Brien,1995,788.009638888889,1996-02-09
2015,18625110,7000000,Columbia Pictures Corporation,USA,Robert Rodriguez,Action,25625110,Desperado,R,8/25/1995,104,Antonio Banderas,Robert Rodriguez,1995,266.073,1995-08-25
2018,36600000,30000000,Universal Pictures,Australia,Chris Noonan,Comedy,66600000,"Babe, el puerquito valiente",G,8/4/1995,91,James Cromwell,Dick King-Smith,1995,122.0,1995-08-04
2019,-34081000,42000000,Lightstorm Entertainment,USA,Kathryn Bigelow,Action,7919000,Strange Days,R,10/13/1995,145,Ralph Fiennes,James Cameron,1995,-81.1452380952381,1995-10-13
2020,78385533,30000000,Morgan Creek Productions,USA,Steve Oedekerk,Adventure,108385533,Ace Ventura: When Nature Calls,PG-13,11/10/1995,90,Jim Carrey,Jack Bernstein,1995,261.28511,1995-11-10
2021,301331,4000000,Miramax,USA,Allison Anders,Comedy,4301331,Four Rooms,R,12/25/1995,98,Tim Roth,Allison Anders,1995,7.533275000000001,1995-12-25
2023,64057016,17000000,Hollywood Pictures,USA,Jon Turteltaub,Comedy,81057016,While You Were Sleeping,PG,4/21/1995,103,Sandra Bullock,Daniel G. Sullivan,1995,376.80597647058823,1995-04-21
2024,-13363463,32000000,TriStar Pictures,Japan,Sam Raimi,Action,18636537,R�pida y mortal,R,2/10/1995,107,Sharon Stone,Simon Moore,1995,-41.760821875,1995-02-10
2026,-35306519,70000000,Hollywood Pictures,USA,Danny Cannon,Action,34693481,Judge Dredd,R,6/30/1995,96,Sylvester Stallone,John Wagner,1995,-50.43788428571428,1995-06-30
2028,-12582433,22000000,Universal Pictures,USA,John Carpenter,Horror,9417567,Village of the Damned,R,4/28/1995,99,Christopher Reeve,John Wyndham,1995,-57.19287727272727,1995-04-28
2030,-6980693,17000000,Warner Bros.,USA,Alfonso Cuar�n,Drama,10019307,A Little Princess,G,5/19/1995,97,Liesel Matthews,Frances Hodgson Burnett,1995,-41.0629,1995-05-19
2031,34576136,12000000,Paramount Pictures,USA,Betty Thomas,Comedy,46576136,The Brady Bunch Movie,PG-13,2/17/1995,90,Shelley Long,Sherwood Schwartz,1995,288.13446666666664,1995-02-17
2032,28387284,11000000,Havoc,UK,Tim Robbins,Crime,39387284,Dead Man Walking,R,2/2/1996,122,Susan Sarandon,Helen Prejean,1995,258.06621818181816,1996-02-02
2033,44870000,25000000,Lancaster Gate,USA,Howard Deutch,Comedy,69870000,Grumpier Old Men,PG-13,12/22/1995,101,Walter Matthau,Mark Steven Johnson,1995,179.48,1995-12-22
2037,12051917,20000000,Regency Enterprises,USA,Jon Amiel,Drama,32051917,Copycat,R,10/27/1995,123,Sigourney Weaver,Ann Biderman,1995,60.259585,1995-10-27
